id,Candidato,#Hashtags,PersonasMencionadas,Urls,#Palabras,#Retweets
1339642336939274243,Candidato Lucio Gutiérrez,11,71,4,19,0

1339592350666874883,Candidato Lucio Gutiérrez,11,71,4,18,0

1339583070471553024,Candidato Lucio Gutiérrez,11,74,4,12,0

1339444831752478724,Candidato Lucio Gutiérrez,11,75,4,20,0

1339443857797357568,Candidato Lucio Gutiérrez,11,76,4,23,2

1339437065931546624,Candidato Lucio Gutiérrez,11,76,4,21,1

1339383594712784899,Candidato Lucio Gutiérrez,11,77,4,23,2

1339381819205185537,Candidato Lucio Gutiérrez,11,77,4,21,2

1339323668816654338,Candidato Lucio Gutiérrez,11,77,4,20,0

1339287043369799680,Candidato Lucio Gutiérrez,11,77,4,5,0

1339280755323703300,Candidato Lucio Gutiérrez,11,78,4,20,0

1339268296743526402,Candidato Lucio Gutiérrez,11,79,4,23,40

1339183486624739329,Candidato Lucio Gutiérrez,11,82,4,27,1

1339183448502788097,Candidato Lucio Gutiérrez,11,84,4,25,1

1339102695802724352,Candidato Lucio Gutiérrez,11,89,4,18,2

1339094617040580608,Candidato Lucio Gutiérrez,11,91,4,21,4

1339012970760822785,Candidato Lucio Gutiérrez,11,95,4,16,0

1339008799542300673,Candidato Lucio Gutiérrez,11,96,4,22,0

1339008101375238149,Candidato Lucio Gutiérrez,11,96,4,23,0

1339007702069030918,Candidato Lucio Gutiérrez,11,97,4,23,40

1338978683143512064,Candidato Lucio Gutiérrez,11,102,4,18,2

1338978207576563715,Candidato Lucio Gutiérrez,11,106,4,16,2

1338975931872972807,Candidato Lucio Gutiérrez,11,106,4,7,0

1338975100876500992,Candidato Lucio Gutiérrez,11,106,4,22,0

1338969825796902919,Candidato Lucio Gutiérrez,12,108,4,20,2

1338914505280118794,Candidato Lucio Gutiérrez,12,109,4,18,5

1338909811908481027,Candidato Lucio Gutiérrez,12,110,4,18,5

1338907068997230594,Candidato Lucio Gutiérrez,12,111,4,18,5

1338906100154961921,Candidato Lucio Gutiérrez,12,112,4,18,5

1338904147567972353,Candidato Lucio Gutiérrez,12,113,4,18,5

1338903462503976961,Candidato Lucio Gutiérrez,12,114,4,22,3

1338901712711593984,Candidato Lucio Gutiérrez,12,115,4,23,40

1338889411686248449,Candidato Lucio Gutiérrez,12,115,4,16,5

1338878033269317633,Candidato Lucio Gutiérrez,12,116,4,17,0

1338859504587325441,Candidato Lucio Gutiérrez,12,118,4,21,4

1338852786159710210,Candidato Lucio Gutiérrez,12,120,4,21,4

1338852572204068865,Candidato Lucio Gutiérrez,12,122,4,21,4

1338849203674632192,Candidato Lucio Gutiérrez,12,123,4,23,40

1339125890341613570,Candidato Yaku Pérez,1,1,0,18,34

1338585718982119431,Candidato Yaku Pérez,1,2,0,21,1

1338544285612904455,Candidato Yaku Pérez,1,2,4,19,1

1337884634454044678,Candidato Yaku Pérez,1,3,4,19,8

1337836994265817088,Candidato Yaku Pérez,1,4,4,19,8

1337833587824005120,Candidato Yaku Pérez,1,5,4,19,8

1337829666128846848,Candidato Yaku Pérez,1,6,4,19,8

1337828522757414913,Candidato Yaku Pérez,1,7,4,19,8

1337827943209459721,Candidato Yaku Pérez,1,8,4,19,8

1337826407788011527,Candidato Yaku Pérez,1,9,4,19,8

1337824908110262274,Candidato Yaku Pérez,1,9,4,17,8

1337651996032180224,Candidato Yaku Pérez,2,9,4,20,0

1337561650375892992,Candidato Yaku Pérez,2,10,4,26,36

1337541114098712576,Candidato Yaku Pérez,2,11,4,26,36

1337474391014305794,Candidato Yaku Pérez,2,12,4,26,36

1337449341963939844,Candidato Yaku Pérez,2,13,4,26,36

1337448213826199554,Candidato Yaku Pérez,3,14,4,18,34

1337446444383539200,Candidato Yaku Pérez,3,15,4,26,36

1337424408659587072,Candidato Yaku Pérez,3,16,4,26,36

1337407514313363460,Candidato Yaku Pérez,3,17,4,26,36

1337403687354953729,Candidato Yaku Pérez,3,18,4,26,36

1337389645768822785,Candidato Yaku Pérez,3,19,4,26,36

1337381322311032836,Candidato Yaku Pérez,3,20,4,26,36

1337378202600222720,Candidato Yaku Pérez,3,20,4,17,0

1337343445199953921,Candidato Yaku Pérez,4,21,4,18,34

1337279544609239040,Candidato Yaku Pérez,4,22,4,26,36

1337263277852811264,Candidato Yaku Pérez,5,23,4,18,34

1337253166962847744,Candidato Yaku Pérez,5,24,4,18,3

1340013200465653761,Candidato Paúl Carrasco,0,1,0,20,3

1340012943308632074,Candidato Paúl Carrasco,0,2,0,20,3

1340012816644927489,Candidato Paúl Carrasco,0,3,0,20,3

1340012707026587649,Candidato Paúl Carrasco,0,3,4,18,3

1339933297162539009,Candidato Paúl Carrasco,0,3,4,22,0

1339911884598894595,Candidato Paúl Carrasco,0,3,4,16,0

1339658618203992068,Candidato Paúl Carrasco,0,4,4,20,1

1339657869357146116,Candidato Paúl Carrasco,0,4,4,18,1

1339238866486702083,Candidato Paúl Carrasco,0,4,4,20,0

1339016140291362816,Candidato Paúl Carrasco,0,4,4,18,0

1338853822102441989,Candidato Paúl Carrasco,0,5,4,17,0

1340107373688594436,Candidato Juan Fernando Velasco,0,1,0,22,1

1339752241251704833,Candidato Juan Fernando Velasco,0,2,4,17,0

1339716816021680130,Candidato Juan Fernando Velasco,0,3,4,20,3

1339597341628633089,Candidato Juan Fernando Velasco,0,3,4,19,1

1339366067290988545,Candidato Juan Fernando Velasco,0,4,4,20,3

1339362268044271620,Candidato Juan Fernando Velasco,0,4,4,18,0

1339361913860468737,Candidato Juan Fernando Velasco,0,4,4,18,3

1338672633571848193,Candidato Juan Fernando Velasco,0,4,4,19,0
